"month","revenue"
"2016-09-01","252.24"
"2016-10-01","59090.48"
"2016-12-01","19.62"
"2017-01-01","138488.04"
"2017-02-01","291908.01"
"2017-03-01","449863.60"
"2017-04-01","417788.03"
"2017-05-01","592918.82"
"2017-06-01","511276.38"
"2017-07-01","592382.92"
"2017-08-01","674396.32"
"2017-09-01","727762.45"
"2017-10-01","779677.88"
"2017-11-01","1194882.80"
"2017-12-01","878401.48"
"2018-01-01","1115004.18"
"2018-02-01","992463.34"
"2018-03-01","1159652.12"
"2018-04-01","1160785.48"
"2018-05-01","1153982.15"
"2018-06-01","1023880.50"
"2018-07-01","1066540.75"
"2018-08-01","1022425.32"
"2018-09-01","4439.54"
"2018-10-01","589.67"
